#time[sec] output_ch0 output_ch1
2.720000000000000216e-06 1.007429400819633392e+00 2.346068467662160151e-02
2.730000000000000120e-06 1.003289279994347361e+00 2.622076522681237795e-02
2.740000000000000024e-06 1.006049360544537974e+00 2.484072495171699146e-02
2.749999999999999928e-06 1.003289279994347361e+00 2.484072495171699146e-02
2.760000000000000256e-06 1.008809441094728809e+00 2.622076522681237795e-02
2.770000000000000161e-06 1.008809441094728809e+00 2.898084577700315093e-02
2.780000000000000065e-06 1.010189481369824227e+00 2.760080550190776791e-02
2.789999999999999969e-06 1.007429400819633392e+00 2.760080550190776791e-02
2.799999999999999873e-06 1.006049360544537974e+00 2.622076522681237795e-02
2.810000000000000201e-06 1.006049360544537974e+00 2.484072495171699146e-02
2.820000000000000105e-06 1.004669320269442778e+00 2.760080550190776791e-02
2.830000000000000010e-06 1.007429400819633392e+00 2.622076522681237795e-02
2.839999999999999914e-06 1.007429400819633392e+00 2.484072495171699146e-02
2.850000000000000242e-06 1.004669320269442778e+00 2.208064440152621155e-02
2.860000000000000146e-06 1.004669320269442778e+00 2.622076522681237795e-02
2.870000000000000050e-06 1.006049360544537974e+00 2.484072495171699146e-02
2.879999999999999954e-06 1.007429400819633392e+00 2.484072495171699146e-02
2.889999999999999859e-06 1.007429400819633392e+00 2.484072495171699146e-02
2.900000000000000186e-06 1.007429400819633392e+00 2.622076522681237795e-02
2.910000000000000091e-06 1.008809441094728809e+00 2.484072495171699146e-02
2.919999999999999995e-06 1.011569521644919645e+00 2.622076522681237795e-02
2.929999999999999899e-06 1.006049360544537974e+00 2.622076522681237795e-02
2.940000000000000227e-06 1.010189481369824227e+00 2.622076522681237795e-02
2.950000000000000131e-06 1.008809441094728809e+00 2.898084577700315093e-02
2.960000000000000035e-06 1.010189481369824227e+00 2.622076522681237795e-02
2.969999999999999940e-06 1.008809441094728809e+00 2.622076522681237795e-02
2.980000000000000267e-06 1.010189481369824227e+00 2.622076522681237795e-02
2.990000000000000172e-06 1.011569521644919645e+00 2.760080550190776791e-02
3.000000000000000076e-06 1.000529199444156525e+00 2.622076522681237795e-02
3.009999999999999980e-06 8.680453330349992003e-01 1.932056385133543511e-02
3.019999999999999885e-06 6.486189292948325580e-01 5.520161100381552888e-03
3.030000000000000212e-06 4.912943379339582139e-01 -1.242036247585849573e-02
3.040000000000000117e-06 3.808911159263271839e-01 -1.518044302604927044e-02
3.050000000000000021e-06 2.815282161194592181e-01 1.104032220076310578e-02
3.059999999999999925e-06 2.028659204390221016e-01 4.416128880305242310e-02
3.070000000000000253e-06 1.587046316359696507e-01 5.382157072872014586e-02
3.080000000000000157e-06 1.476643094352065588e-01 4.002116797776626017e-02
3.090000000000000061e-06 1.269637053087757372e-01 3.174092632719393431e-02
3.099999999999999966e-06 8.970261788120023616e-02 3.312096660228931733e-02
