#time[sec] output_ch0 output_ch1
1.340000000000000088e-06 7.659223526779405100e-01 3.588104715248009446e-01
1.349999999999999992e-06 7.769626748787036297e-01 3.657106729002779222e-01
1.360000000000000108e-06 7.893830373545621670e-01 3.753709548259456241e-01
1.370000000000000012e-06 7.949031984549437269e-01 3.850312367516133261e-01
1.380000000000000128e-06 8.114636817560884063e-01 3.933114784021856658e-01
1.390000000000000032e-06 8.142237623062790197e-01 4.057318408780442032e-01
1.399999999999999937e-06 8.335443261576145346e-01 4.167721630788072673e-01
1.410000000000000053e-06 8.390644872579960944e-01 4.167721630788072673e-01
1.419999999999999957e-06 8.418245678081868189e-01 4.264324450044749693e-01
1.430000000000000073e-06 8.597650913844269160e-01 4.388528074803335066e-01
1.439999999999999977e-06 8.583850511093314983e-01 4.512731699561919330e-01
1.450000000000000093e-06 8.790856552357623199e-01 4.623134921569551081e-01
1.459999999999999997e-06 8.873658968863347152e-01 4.705937338075274479e-01
1.470000000000000113e-06 8.887459371614300219e-01 4.788739754580997876e-01
1.480000000000000018e-06 9.260070245890055229e-01 4.926743782090536872e-01
1.490000000000000134e-06 8.970261788120023061e-01 5.009546198596258604e-01
1.500000000000000038e-06 9.273870648641008296e-01 5.133749823354845088e-01
1.509999999999999942e-06 9.812086355928211212e-01 5.326955461868198016e-01
1.520000000000000058e-06 6.127378821423523636e-01 5.464959489377737567e-01
1.529999999999999963e-06 1.435241886099203890e-01 5.644364725140138539e-01
1.540000000000000079e-06 8.280241650572330026e-02 5.740967544396815558e-01
1.549999999999999983e-06 9.384273870648640603e-02 5.754767947147768625e-01
1.560000000000000099e-06 4.278124852795703315e-02 5.934173182910169597e-01
1.570000000000000003e-06 6.900201375476941457e-02 6.044576404917800794e-01
1.580000000000000119e-06 6.624193320457863465e-02 6.113578418672570569e-01
1.590000000000000023e-06 5.934173182910169181e-02 6.223981640680201766e-01
1.599999999999999928e-06 8.142237623062791030e-02 6.306784057185924608e-01
1.610000000000000044e-06 8.280241650572330026e-02 6.375786070940694383e-01
1.619999999999999948e-06 9.384273870648640603e-02 6.499989695699278647e-01
1.630000000000000064e-06 1.062631011823449018e-01 6.596592514955956776e-01
1.639999999999999968e-06 1.159233831080126037e-01 6.679394931461679619e-01
1.650000000000000084e-06 1.186834636582033836e-01 6.803598556220263882e-01
1.659999999999999988e-06 1.338639066842526593e-01 6.941602583729803433e-01
1.670000000000000104e-06 1.435241886099203890e-01 6.996804194733619031e-01
1.680000000000000009e-06 1.504243899853973110e-01 7.052005805737434629e-01
1.690000000000000125e-06 1.573245913608742608e-01 7.176209430496018893e-01
1.700000000000000029e-06 1.738850746620189125e-01 7.314213458005558444e-01
1.709999999999999933e-06 1.835453565876866422e-01 7.355614666258419865e-01
1.720000000000000049e-06 1.890655176880682020e-01 7.521219499269866660e-01
1.729999999999999953e-06 2.001058398888313217e-01 7.535019902020819726e-01
1.740000000000000069e-06 2.125262023646898035e-01 7.645423124028450923e-01
1.749999999999999974e-06 2.194264037401667533e-01 7.783427151537990474e-01
1.760000000000000090e-06 2.332268064911205974e-01 7.852429165292759139e-01
1.769999999999999994e-06 2.401270078665975471e-01 7.921431179047528914e-01
1.780000000000000110e-06 2.497872897922652768e-01 8.031834401055160111e-01
1.790000000000000014e-06 2.608276119930283965e-01 8.128437220311837130e-01
1.800000000000000130e-06 2.677278133685053185e-01 8.197439234066605795e-01
1.810000000000000035e-06 2.787681355692684382e-01 8.349243664327099523e-01
1.819999999999999939e-06 2.856683369447453602e-01 8.445846483583776543e-01
1.830000000000000055e-06 2.994687396956992598e-01 8.514848497338545208e-01
1.839999999999999959e-06 3.091290216213669617e-01 8.749455344104761778e-01
1.850000000000000075e-06 3.174092632719393015e-01 8.680453330349992003e-01
1.859999999999999979e-06 3.270695451976070589e-01 8.804656955108577376e-01
1.870000000000000095e-06 3.367298271232747053e-01 9.149667023882424033e-01
1.880000000000000000e-06 3.505302298742286049e-01 8.652852524848084759e-01
1.890000000000000116e-06 3.601905117998963624e-01 9.591279911912948819e-01
1.900000000000000020e-06 3.615705520749917246e-01 8.984062190870978348e-01
1.909999999999999924e-06 3.712308340006594265e-01 3.036088605209854019e-01
1.920000000000000252e-06 3.905513978519948859e-01 -6.072177210419708177e-02
1.930000000000000156e-06 3.933114784021856658e-01 4.554132907814781306e-02
1.940000000000000060e-06 4.002116797776626433e-01 3.726108742757548720e-02
1.949999999999999965e-06 4.195322436289980472e-01 1.380040275095388395e-02
1.959999999999999869e-06 4.278124852795703870e-01 5.934173182910169181e-02
1.970000000000000197e-06 4.360927269301427267e-01 4.692136935324320302e-02
1.980000000000000101e-06 4.471330491309057908e-01 5.658165127891091883e-02
1.990000000000000005e-06 4.540332505063827129e-01 7.452217485515097439e-02
1.999999999999999909e-06 4.678336532573366680e-01 7.866229568043713039e-02
2.010000000000000237e-06 4.788739754580997876e-01 8.832257760610484620e-02
2.020000000000000142e-06 4.926743782090536872e-01 1.035030206321541218e-01
2.030000000000000046e-06 4.981945393094351360e-01 1.048830609072495118e-01
2.039999999999999950e-06 5.078548212351029489e-01 1.117832622827264477e-01
2.049999999999999854e-06 5.161350628856752332e-01 1.255836650336803473e-01
2.060000000000000182e-06 5.285554253615336595e-01 1.324838664091572693e-01
2.070000000000000086e-06 5.340755864619152193e-01 1.421441483348249990e-01
2.079999999999999991e-06 5.437358683875829213e-01 1.545645108106834809e-01
2.089999999999999895e-06 5.575362711385368764e-01 1.600846719110650407e-01
2.100000000000000223e-06 5.671965530642045783e-01 1.738850746620189125e-01
2.110000000000000127e-06 5.699566336143953027e-01 1.863054371378773943e-01
2.120000000000000031e-06 5.865171169155399822e-01 2.028659204390221016e-01
2.129999999999999935e-06 6.030776002166846617e-01 2.014858801639267116e-01
2.139999999999999840e-06 6.085977613170662215e-01 2.152862829148805834e-01
2.150000000000000167e-06 6.210181237929247589e-01 2.208064440152621433e-01
2.160000000000000072e-06 6.237782043431154833e-01 2.277066453907390930e-01
2.169999999999999976e-06 6.375786070940694383e-01 2.387469675915021572e-01
2.179999999999999880e-06 6.458588487446417226e-01 2.442671286918837170e-01
2.190000000000000208e-06 6.596592514955956776e-01 2.566874911677422544e-01
2.200000000000000112e-06 6.665594528710725442e-01 2.649677328183145386e-01
2.210000000000000016e-06 6.803598556220263882e-01 2.760080550190776583e-01
2.219999999999999921e-06 6.886400972725987835e-01 2.815282161194592181e-01
2.230000000000000248e-06 6.969203389231711787e-01 2.967086591455084799e-01
2.240000000000000153e-06 7.148608624994111649e-01 3.008487799707946220e-01
2.250000000000000057e-06 7.217610638748880314e-01 3.008487799707946220e-01
2.259999999999999961e-06 7.190009833246973070e-01 3.174092632719393015e-01
2.269999999999999866e-06 7.424616680013188530e-01 3.256895049225116412e-01
2.280000000000000193e-06 7.438417082764142707e-01 3.381098673983701230e-01
2.290000000000000098e-06 7.604021915775589502e-01 3.408699479485609030e-01
2.300000000000000002e-06 7.631622721277497856e-01 3.519102701493240226e-01
2.309999999999999906e-06 7.811027957039897718e-01 3.629505923500871423e-01
2.320000000000000234e-06 7.852429165292759139e-01 3.808911159263271839e-01
